Order_Date,Customer_Name,Product_Name,Category,Region,Payment_Mode,Quantity,Unit_Price,Discount,Sales,Profit
2025-11-26,Ekalinga Mane,Mouse,Electronics,West,UPI,4,700,5,2660.0,318.19
2025-05-28,Reyansh Tank,Headphones,Electronics,South,UPI,8,2500,15,17000.0,1382.45
2025-03-23,Dhriti Parikh,Monitor,Electronics,East,UPI,5,15000,10,67500.0,6386.87
2026-04-03,Dakshesh Bava,Printer,Electronics,East,Cash,7,18000,0,126000.0,31235.75
2026-02-04,Warinder Arya,Study Table,Furniture,South,UPI,7,12000,5,79800.0,12578.35
2026-04-23,Kamya D’Alia,Mouse,Electronics,West,Credit Card,2,700,15,1190.0,191.77
2025-11-15,Yachana Guha,Study Table,Furniture,West,Debit Card,5,12000,15,51000.0,8807.73
2025-11-01,Ladli Kumer,Laptop,Electronics,West,Credit Card,9,65000,0,585000.0,82345.85
2024-08-09,Ria Dara,Monitor,Electronics,South,UPI,4,15000,15,51000.0,7886.91
2025-10-04,Pavani Pillay,Laptop,Electronics,North,UPI,10,65000,5,617500.0,111705.27
2024-10-26,Yutika Sura,Notebook,Stationery,East,UPI,5,120,0,600.0,146.08
2025-04-17,Qabil Pai,Mouse,Electronics,South,Debit Card,3,700,10,1890.0,435.14
2024-12-25,Krishna Dara,Notebook,Stationery,South,Debit Card,9,120,15,918.0,108.55
2024-11-30,Watika Anne,Headphones,Electronics,North,Credit Card,1,2500,0,2500.0,522.49
2025-05-30,Divya Rattan,Printer,Electronics,North,Cash,8,18000,0,144000.0,30834.59
2025-11-09,Isaac Murty,Notebook,Stationery,North,Credit Card,6,120,15,612.0,103.57
2024-12-21,Tejas Kar,Keyboard,Electronics,South,Debit Card,7,1200,0,8400.0,1404.56
2025-09-25,Bhavika Baria,Laptop,Electronics,West,UPI,1,65000,5,61750.0,7446.37
2026-05-20,Vasatika Bandi,Headphones,Electronics,North,Credit Card,7,2500,15,14875.0,3647.55
2026-05-12,Chanakya Soman,Keyboard,Electronics,West,UPI,7,1200,15,7140.0,1468.91
2024-09-27,Aachal Parekh,Notebook,Stationery,East,Credit Card,5,120,5,570.0,136.88
2025-01-02,Zehaan Brahmbhatt,Monitor,Electronics,East,UPI,7,15000,0,105000.0,26106.02
2024-09-06,Waida Prakash,Mouse,Electronics,West,Debit Card,1,700,0,700.0,63.59
2024-09-22,Shaurya Bhargava,Pen Drive,Accessories,South,Cash,8,900,5,6840.0,680.83
2024-10-15,Kamya Sandal,Mouse,Electronics,South,Cash,6,700,5,3990.0,472.27
2025-07-04,Yagnesh Raghavan,Headphones,Electronics,West,Debit Card,9,2500,10,20250.0,1750.24
2025-06-16,Nicholas Nagy,Headphones,Electronics,West,UPI,7,2500,0,17500.0,4027.6
2026-01-12,Michael Bala,Notebook,Stationery,West,Debit Card,5,120,15,510.0,76.41
2025-04-12,Anthony Chakraborty,Headphones,Electronics,West,UPI,5,2500,5,11875.0,2574.53
2026-01-11,Lakshit Dass,Mouse,Electronics,South,Cash,1,700,5,665.0,136.15
2025-04-29,Saksham Chaudhary,Study Table,Furniture,South,Cash,4,12000,5,45600.0,11081.75
2024-08-03,Falak Bera,Pen Drive,Accessories,North,Credit Card,5,900,10,4050.0,506.02
2025-07-06,Unnati Sibal,Keyboard,Electronics,South,Debit Card,9,1200,10,9720.0,1534.2
2025-03-03,Nidra Kakar,Monitor,Electronics,South,UPI,5,15000,5,71250.0,8589.45
2025-02-12,Jai Bose,Office Chair,Furniture,North,Cash,5,8500,0,42500.0,9848.58
2026-06-03,Nathaniel Kurian,Mouse,Electronics,West,UPI,7,700,5,4655.0,749.51
2025-02-12,Chatura Konda,Notebook,Stationery,West,Cash,8,120,5,912.0,155.39
2026-01-18,Yashodhara Shankar,Study Table,Furniture,North,Debit Card,2,12000,5,22800.0,5020.89
2025-11-12,Xalak Chakraborty,Office Chair,Furniture,South,Credit Card,7,8500,0,59500.0,9015.23
2025-10-24,Oni Varghese,Mouse,Electronics,East,Cash,7,700,15,4165.0,957.14
2025-08-26,Qabil Sanghvi,Printer,Electronics,West,UPI,10,18000,15,153000.0,33860.25
2026-05-18,Lavanya Mall,Monitor,Electronics,North,UPI,5,15000,0,75000.0,8773.56
2025-06-02,Zansi Gokhale,Notebook,Stationery,North,Cash,7,120,10,756.0,148.77
2025-01-09,Vincent Jaggi,Pen Drive,Accessories,East,Debit Card,1,900,10,810.0,80.87
2024-09-11,Dhriti Rana,Printer,Electronics,West,Credit Card,7,18000,0,126000.0,15509.05
2024-10-03,Oliver Chand,Headphones,Electronics,East,Cash,3,2500,0,7500.0,1592.37
2025-02-18,Vanya Sharaf,Mouse,Electronics,West,Cash,5,700,0,3500.0,637.51
2024-08-27,Daniel Nayar,Notebook,Stationery,West,Credit Card,2,120,15,204.0,46.52
2024-07-29,Vincent Tara,Office Chair,Furniture,West,Credit Card,4,8500,15,28900.0,4867.35
2024-12-30,Shaurya Yogi,Monitor,Electronics,East,Cash,1,15000,15,12750.0,1464.0
2024-10-21,Lakshmi Kala,Printer,Electronics,East,Credit Card,2,18000,5,34200.0,3570.74
2025-08-23,Turvi Choudhury,Mouse,Electronics,West,Debit Card,9,700,5,5985.0,590.81
2025-02-09,Chasmum Sem,Headphones,Electronics,West,Debit Card,4,2500,15,8500.0,971.53
2025-11-21,Eshana Mane,Headphones,Electronics,South,UPI,4,2500,0,10000.0,1596.05
2026-06-03,Girik Ray,Printer,Electronics,East,UPI,5,18000,0,90000.0,13566.81
2025-03-31,Harshil Varma,Study Table,Furniture,North,UPI,8,12000,10,86400.0,21228.27
2026-07-01,Vincent Swamy,Notebook,Stationery,North,UPI,7,120,0,840.0,75.74
2024-09-24,Anya Dasgupta,Keyboard,Electronics,East,Cash,7,1200,10,7560.0,1314.38
2025-08-13,Ojasvi Magar,Headphones,Electronics,South,Credit Card,8,2500,10,18000.0,4477.58
2024-10-08,Kabir Bhasin,Printer,Electronics,South,Debit Card,4,18000,0,72000.0,11941.02
2026-07-21,Nidhi Korpal,Printer,Electronics,West,UPI,10,18000,15,153000.0,14158.29
2025-10-10,Indira Murty,Mouse,Electronics,East,Cash,8,700,10,5040.0,1255.89
2025-04-29,Radha Chana,Laptop,Electronics,North,Debit Card,10,65000,0,650000.0,52946.38
2024-11-11,Bahadurjit Chawla,Mouse,Electronics,South,Credit Card,7,700,5,4655.0,836.39
2026-02-09,Wriddhish Ramesh,Laptop,Electronics,North,Cash,6,65000,15,331500.0,27210.86
2024-09-23,Gagan Bhalla,Pen Drive,Accessories,East,UPI,8,900,5,6840.0,1028.94
2024-11-16,Aashi Vig,Office Chair,Furniture,North,UPI,8,8500,15,57800.0,11579.92
2025-08-05,Vivaan Khatri,Office Chair,Furniture,South,Debit Card,7,8500,10,53550.0,5328.68
2026-07-05,Eesha Lala,Printer,Electronics,North,Cash,4,18000,10,64800.0,14856.29
2025-04-09,Jack Thaker,Pen Drive,Accessories,East,UPI,7,900,15,5355.0,488.26
2025-11-13,Veer Vig,Mouse,Electronics,North,UPI,7,700,15,4165.0,457.76
2024-08-17,Laban Goda,Study Table,Furniture,West,Cash,2,12000,15,20400.0,4910.0
2026-02-13,Anthony Bal,Printer,Electronics,South,Debit Card,1,18000,15,15300.0,1445.89
2025-04-25,Girik Kakar,Pen Drive,Accessories,North,Cash,10,900,10,8100.0,948.71
2026-02-19,Ekani Rajan,Pen Drive,Accessories,North,Credit Card,1,900,0,900.0,208.11
2024-10-23,Pooja Shankar,Headphones,Electronics,East,Cash,2,2500,0,5000.0,1240.93
2025-02-18,Adya Sridhar,Study Table,Furniture,North,Credit Card,5,12000,10,54000.0,11453.23
2024-12-15,Harish Malhotra,Mouse,Electronics,North,UPI,2,700,0,1400.0,252.45
2025-10-31,Gaurangi Hans,Headphones,Electronics,South,UPI,5,2500,15,10625.0,1541.42
2024-12-19,Manbir Bhalla,Monitor,Electronics,West,Debit Card,1,15000,10,13500.0,1869.25
2026-07-08,Osha Chawla,Printer,Electronics,East,Cash,9,18000,15,137700.0,13315.02
2026-01-11,Charan Iyer,Printer,Electronics,West,Debit Card,5,18000,10,81000.0,10706.15
2024-12-23,Rishi Goda,Monitor,Electronics,East,Debit Card,5,15000,0,75000.0,10715.47
2026-05-12,Lohit Bandi,Mouse,Electronics,West,Debit Card,8,700,0,5600.0,1191.87
2025-11-14,Turvi Parmer,Keyboard,Electronics,West,Cash,2,1200,10,2160.0,214.14
2025-01-03,Saumya Buch,Mouse,Electronics,North,Credit Card,9,700,0,6300.0,1150.53
2024-08-28,Shivansh Chawla,Monitor,Electronics,West,Credit Card,1,15000,15,12750.0,1195.08
2025-11-26,Michael Ganesan,Mouse,Electronics,North,Credit Card,2,700,15,1190.0,112.18
2025-08-18,Kavya Kari,Keyboard,Electronics,North,Debit Card,1,1200,0,1200.0,112.22
2025-11-25,Ethan Sehgal,Headphones,Electronics,East,Cash,5,2500,0,12500.0,1001.7
2026-04-12,Avi Choudhry,Mouse,Electronics,West,Credit Card,5,700,5,3325.0,698.37
2025-09-19,Nirja Palan,Office Chair,Furniture,East,UPI,2,8500,10,15300.0,3455.36
2025-03-17,Dominic Baria,Notebook,Stationery,North,Credit Card,9,120,10,972.0,209.39
2024-09-20,Gaurang Goel,Headphones,Electronics,South,UPI,8,2500,0,20000.0,1955.42
2025-03-27,Kabir Boase,Headphones,Electronics,East,Credit Card,8,2500,15,17000.0,2452.69
2024-08-05,Sara Shroff,Pen Drive,Accessories,East,UPI,5,900,0,4500.0,464.98
2026-01-08,Jagvi Pradhan,Study Table,Furniture,North,UPI,2,12000,10,21600.0,4214.82
2026-04-28,Aradhana Chada,Study Table,Furniture,North,Credit Card,7,12000,5,79800.0,16216.05
2026-04-13,Laksh Char,Mouse,Electronics,West,Debit Card,9,700,0,6300.0,576.01
2025-10-24,Aarini Goswami,Pen Drive,Accessories,West,Credit Card,2,900,10,1620.0,267.13
2024-11-23,Janya Andra,Headphones,Electronics,North,UPI,2,2500,10,4500.0,981.56
2025-05-07,Balvan Gandhi,Office Chair,Furniture,North,Debit Card,8,8500,5,64600.0,9578.12
2026-02-11,Xavier Sundaram,Study Table,Furniture,North,Cash,5,12000,10,54000.0,13101.1
2024-08-19,Anvi Soman,Keyboard,Electronics,South,Cash,7,1200,5,7980.0,1059.56
2024-10-06,Warhi Solanki,Headphones,Electronics,West,Cash,7,2500,5,16625.0,4138.37
2026-03-21,Shaurya Buch,Laptop,Electronics,South,Debit Card,9,65000,0,585000.0,54191.9
2025-03-19,Yachana Sekhon,Printer,Electronics,West,UPI,3,18000,5,51300.0,7677.36
2025-09-16,Gautam Lala,Mouse,Electronics,North,Cash,5,700,15,2975.0,530.19
2026-06-12,Ranbir Bhagat,Pen Drive,Accessories,South,Cash,9,900,0,8100.0,662.06
2026-05-19,Vamakshi Tank,Keyboard,Electronics,East,Credit Card,6,1200,5,6840.0,798.91
2024-08-12,Liam Murty,Office Chair,Furniture,North,Credit Card,2,8500,10,15300.0,3456.4
2026-07-07,Gavin Mandal,Headphones,Electronics,West,Cash,9,2500,5,21375.0,3893.45
2025-12-12,Ridhi Agrawal,Mouse,Electronics,West,Cash,7,700,15,4165.0,998.05
2024-12-30,Inaya Minhas,Mouse,Electronics,South,Cash,4,700,0,2800.0,678.92
2024-08-04,Akshay Menon,Keyboard,Electronics,East,Cash,4,1200,10,4320.0,832.36
2025-11-30,Daniel Viswanathan,Pen Drive,Accessories,East,UPI,1,900,10,810.0,193.63
2026-07-12,Vinaya Sekhon,Headphones,Electronics,West,Debit Card,2,2500,5,4750.0,990.57
2025-09-12,Aarush Gulati,Notebook,Stationery,South,Credit Card,2,120,10,216.0,37.35
2025-07-19,Om Char,Notebook,Stationery,South,Credit Card,4,120,0,480.0,102.18
2026-04-03,Mitesh Sarkar,Office Chair,Furniture,East,UPI,1,8500,5,8075.0,1575.66
2026-05-18,Zayyan Keer,Keyboard,Electronics,South,UPI,7,1200,15,7140.0,1480.43
2024-10-26,Fiyaz Khanna,Monitor,Electronics,East,Debit Card,1,15000,15,12750.0,2454.06
2025-04-14,Mohini Joshi,Laptop,Electronics,West,Debit Card,1,65000,0,65000.0,16208.43
2026-03-04,Advik Modi,Laptop,Electronics,West,UPI,6,65000,15,331500.0,55883.3
2025-09-28,Onveer Ravel,Printer,Electronics,East,Credit Card,2,18000,10,32400.0,5875.83
2024-11-09,Prisha Bava,Headphones,Electronics,West,Debit Card,3,2500,10,6750.0,800.12
2025-06-16,Lucky More,Printer,Electronics,North,Cash,7,18000,15,107100.0,24121.57
2024-11-20,William Mitra,Printer,Electronics,North,Debit Card,3,18000,15,45900.0,10304.44
2025-03-23,Kavya Boase,Laptop,Electronics,North,Cash,8,65000,0,520000.0,97145.57
2024-10-05,Nimrat Desai,Study Table,Furniture,West,Debit Card,8,12000,5,91200.0,14120.62
2024-07-31,Jasmit Jhaveri,Headphones,Electronics,North,Debit Card,7,2500,0,17500.0,1929.07
2025-02-17,Mitesh Wagle,Mouse,Electronics,East,Debit Card,2,700,5,1330.0,202.52
2025-04-29,Ishita Bhargava,Laptop,Electronics,West,Debit Card,9,65000,0,585000.0,81148.4
2025-07-02,Prisha Dhar,Notebook,Stationery,North,Cash,10,120,10,1080.0,90.79
2025-01-05,Kashish Ganesan,Headphones,Electronics,West,UPI,8,2500,5,19000.0,2288.9
2025-06-23,Ekapad Bobal,Monitor,Electronics,North,Cash,7,15000,0,105000.0,15865.88
2024-12-20,Zayan Jaggi,Headphones,Electronics,East,Credit Card,1,2500,0,2500.0,353.54
2024-08-20,Rachita Manne,Laptop,Electronics,South,Debit Card,8,65000,5,494000.0,103718.14
2025-11-25,Bhavika Hans,Study Table,Furniture,South,Cash,10,12000,15,102000.0,16640.55
2025-12-18,Darsh Srinivas,Printer,Electronics,South,Debit Card,5,18000,10,81000.0,11185.83
2026-05-27,Laksh Hayre,Notebook,Stationery,West,Cash,6,120,15,612.0,92.49
2025-05-27,Warjas Divan,Keyboard,Electronics,West,UPI,4,1200,10,4320.0,425.49
2025-02-20,Jatin Kant,Laptop,Electronics,South,Credit Card,5,65000,5,308750.0,41983.31
2025-03-25,Ekta Memon,Monitor,Electronics,West,Cash,5,15000,10,67500.0,16296.95
2025-11-23,Aayush Naidu,Office Chair,Furniture,South,Credit Card,7,8500,15,50575.0,8125.67
2026-01-21,Samaksh Bhatti,Mouse,Electronics,North,Credit Card,2,700,15,1190.0,181.85
2025-11-09,Nihal Kala,Mouse,Electronics,East,Debit Card,6,700,5,3990.0,879.85
2025-02-22,Dayamai Dhillon,Monitor,Electronics,South,Debit Card,7,15000,5,99750.0,22810.22
2024-12-08,Vritti Radhakrishnan,Office Chair,Furniture,North,UPI,7,8500,0,59500.0,14414.68
2025-12-26,Ladli Choudhry,Office Chair,Furniture,North,Cash,6,8500,15,43350.0,4461.01
2025-10-19,Vasatika Rai,Monitor,Electronics,West,Credit Card,6,15000,10,81000.0,11025.72
2025-03-13,Ethan Mukherjee,Study Table,Furniture,North,Cash,8,12000,10,86400.0,14054.06
2025-12-23,Pooja Bava,Pen Drive,Accessories,North,Debit Card,7,900,10,5670.0,700.56
2024-11-19,Ekalinga Sarma,Printer,Electronics,North,UPI,9,18000,10,145800.0,32643.35
2024-10-01,Brijesh Sur,Pen Drive,Accessories,West,UPI,6,900,5,5130.0,1223.32
2025-10-23,Noah Warrior,Printer,Electronics,West,Cash,6,18000,10,97200.0,8835.03
2026-04-23,Vrinda Lalla,Keyboard,Electronics,East,Cash,8,1200,15,8160.0,1474.54
2025-01-24,Barkha Mahajan,Notebook,Stationery,North,Cash,7,120,15,714.0,140.18
2026-06-20,Utkarsh Salvi,Mouse,Electronics,North,Debit Card,1,700,15,595.0,97.64
2024-11-09,Panini Sahni,Study Table,Furniture,East,Debit Card,3,12000,5,34200.0,4122.13
2024-12-07,Udyati Handa,Laptop,Electronics,East,Cash,4,65000,5,247000.0,25195.72
2026-06-28,Ayushman Devi,Office Chair,Furniture,North,Credit Card,8,8500,10,61200.0,9627.8
2025-10-10,Sathvik Guha,Mouse,Electronics,West,UPI,8,700,10,5040.0,1013.59
2025-08-03,Jai Mohan,Office Chair,Furniture,East,Credit Card,3,8500,10,22950.0,2550.51
2026-07-20,Hardik Chad,Laptop,Electronics,East,Debit Card,8,65000,5,494000.0,98050.24
2025-10-28,Saksham Balakrishnan,Study Table,Furniture,East,Credit Card,3,12000,5,34200.0,6377.59
2025-03-12,Reyansh Sood,Laptop,Electronics,East,UPI,7,65000,10,409500.0,47520.03
2025-01-10,Aayush Modi,Notebook,Stationery,North,Credit Card,6,120,5,684.0,127.58
2026-07-05,Qarin Vaidya,Notebook,Stationery,North,UPI,1,120,0,120.0,28.26
2026-05-12,Unnati Kamdar,Headphones,Electronics,South,Cash,5,2500,5,11875.0,2682.84
2026-07-01,Hardik Barad,Mouse,Electronics,North,Cash,3,700,15,1785.0,225.18
2024-12-06,Manya Chad,Office Chair,Furniture,East,Debit Card,6,8500,15,43350.0,10632.93
2026-01-14,Yashawini Kata,Keyboard,Electronics,East,Cash,2,1200,15,2040.0,184.87
2026-06-18,Nimrat Solanki,Notebook,Stationery,North,Cash,2,120,0,240.0,47.81
2025-07-27,Hiral Chand,Laptop,Electronics,West,Cash,1,65000,5,61750.0,12469.35
2025-04-04,Ekavir Comar,Mouse,Electronics,East,Cash,10,700,5,6650.0,564.69
2025-03-19,Yatan Bhatia,Pen Drive,Accessories,East,Credit Card,5,900,15,3825.0,908.47
2026-06-05,Benjamin Tara,Laptop,Electronics,South,UPI,4,65000,5,247000.0,60141.13
2026-05-31,Nakul Salvi,Headphones,Electronics,West,UPI,8,2500,15,17000.0,3626.58
2025-07-17,Ekansh Prabhakar,Notebook,Stationery,South,Cash,4,120,0,480.0,109.38
2025-07-21,Hitesh Joshi,Keyboard,Electronics,South,UPI,1,1200,5,1140.0,180.72
2025-11-23,Pooja Sabharwal,Headphones,Electronics,North,Debit Card,4,2500,15,8500.0,2084.95
2026-05-12,Laban Sagar,Laptop,Electronics,West,Credit Card,10,65000,0,650000.0,117163.5
2025-07-10,Odika Sheth,Headphones,Electronics,South,Debit Card,6,2500,0,15000.0,3682.73
2025-05-11,Chandani Shroff,Keyboard,Electronics,South,UPI,6,1200,15,6120.0,1139.46
2024-11-01,Gavin Wagle,Printer,Electronics,West,Cash,2,18000,0,36000.0,8330.42
2025-03-08,Aayush Venkatesh,Printer,Electronics,South,Credit Card,7,18000,10,113400.0,20002.86
2024-09-26,Vivaan Chaudry,Headphones,Electronics,South,UPI,3,2500,10,6750.0,1028.29
2025-02-20,Abhimanyu Nayak,Keyboard,Electronics,South,Credit Card,4,1200,0,4800.0,913.86
2025-10-02,Hemal Thakkar,Office Chair,Furniture,North,UPI,9,8500,5,72675.0,15231.5
2025-04-04,Jatin Kapoor,Keyboard,Electronics,West,Credit Card,1,1200,15,1020.0,229.12
2025-10-19,Onveer Varty,Study Table,Furniture,West,UPI,10,12000,10,108000.0,25219.11
2026-07-05,Leena Ratti,Monitor,Electronics,North,Debit Card,10,15000,10,135000.0,21813.78
2025-12-17,Abeer Mann,Printer,Electronics,South,Credit Card,5,18000,10,81000.0,17398.88
2026-04-13,Rachita Dhaliwal,Study Table,Furniture,West,Cash,6,12000,15,61200.0,13176.41
2024-08-08,Faraj Bhardwaj,Notebook,Stationery,North,UPI,7,120,5,798.0,111.44
2025-11-20,Vamakshi Manda,Laptop,Electronics,South,UPI,4,65000,5,247000.0,34952.02
2026-03-24,Bimala Khatri,Monitor,Electronics,East,Credit Card,6,15000,0,90000.0,14691.94
2025-02-02,Harrison Mall,Study Table,Furniture,East,UPI,2,12000,5,22800.0,3756.43
2024-09-05,Manan Mitter,Headphones,Electronics,North,Cash,2,2500,0,5000.0,1060.53
2025-03-01,Udant Kara,Pen Drive,Accessories,South,Debit Card,4,900,5,3420.0,706.84
2025-01-28,Aradhana Palan,Mouse,Electronics,North,Credit Card,3,700,15,1785.0,408.48
2025-03-16,Deepa Dutt,Notebook,Stationery,East,UPI,10,120,0,1200.0,130.59
2024-09-02,Indali Dave,Office Chair,Furniture,South,Credit Card,8,8500,0,68000.0,7013.7
2025-09-19,Lucky Nayak,Printer,Electronics,East,Credit Card,5,18000,10,81000.0,17134.54
2026-04-30,Arya Bose,Office Chair,Furniture,North,Debit Card,4,8500,10,30600.0,2659.09
2025-07-01,Yachana Varkey,Keyboard,Electronics,East,Credit Card,1,1200,15,1020.0,177.88
2026-01-02,Madhav Suresh,Laptop,Electronics,West,Credit Card,4,65000,5,247000.0,22183.79
2025-05-13,Atharv Nayar,Headphones,Electronics,North,Debit Card,9,2500,0,22500.0,2799.01
2026-04-03,Nachiket Rana,Office Chair,Furniture,North,Credit Card,10,8500,15,72250.0,15001.94
2025-05-23,Indali Dara,Pen Drive,Accessories,West,Credit Card,7,900,10,5670.0,1137.89
2026-06-06,Samaksh Dhar,Printer,Electronics,South,Credit Card,9,18000,0,162000.0,34772.22
2025-06-21,Banjeet Shan,Laptop,Electronics,North,Debit Card,7,65000,10,409500.0,66132.6
2025-08-16,Neha Dara,Office Chair,Furniture,South,Debit Card,1,8500,10,7650.0,1669.23
2024-08-17,Joshua Pant,Study Table,Furniture,South,UPI,7,12000,5,79800.0,13832.53
2024-10-08,Omisha Madan,Laptop,Electronics,West,UPI,1,65000,0,65000.0,11016.98
2026-03-19,Pranit Talwar,Printer,Electronics,West,Debit Card,10,18000,0,180000.0,29869.44
2024-08-10,Fariq Bail,Keyboard,Electronics,South,Cash,10,1200,0,12000.0,1775.07
2025-05-04,Thomas Uppal,Headphones,Electronics,North,Cash,3,2500,10,6750.0,622.48
2025-03-16,Chaaya Kunda,Monitor,Electronics,South,Debit Card,6,15000,15,76500.0,11033.47
2026-04-24,Raksha Shankar,Keyboard,Electronics,West,UPI,7,1200,5,7980.0,1409.32
2024-11-17,Saumya Nagarajan,Headphones,Electronics,West,Debit Card,3,2500,10,6750.0,997.27
